
현재 판매가격(충전소)

기준일자 : 20170202,,,,,,(단위 : 원/리터)
고유번호,지역,상호,주소,상표,셀프여부,LPG

A0004061,경기 이천시,동구타이어유류(주),경기도 이천시 신둔면 서이천로853번길 346-149,GS칼텍스,셀프,845
A0004068,경기 이천시,동일석유(주)이천충전소,경기 이천시 경충대로 2806 (관고동),SK에너지,일반,840
A0004088,경기 이천시,서창산업(주)이천하주유소,경기도 이천시 마장면 중부대로609번길 244-35,현대오일뱅크,셀프,838
A0004154,경기 이천시,광신랜드마크충전소, 경기도 이천시 모가면 사실로 878,자가상표,일반,699
A0004176,경기 이천시,덕평(상)주유소충전소, 경기도 이천시 마장면 덕이로154번길 287-76,SK에너지,일반,829
A0004177,경기 이천시,덕평(하)주유소충전소,경기도 이천시 마장면 덕이로154번길 287-76,SK에너지,일반,829
A0004184,경기 이천시,(주)하이플랙스,경기도 이천시 마장면 중부고속도로 82,SK에너지,일반,848
A0010886,경기 이천시,양촌충전소,경기도 이천시 마장면 중부대로 88,SK가스,일반,779
A0001265,경기 평택시,안중충전소,경기 평택시 안중읍 안현로 544,S-OIL,일반,823
A0002847,경기 평택시,평택LPG충전소,경기도 평택시  서동대로 3616 (합정동),SK에너지,일반,833
A0002852,경기 평택시,SK에너지(공단),경기 평택시 경기대로 1038 (장당동),SK에너지,일반,823
A0002856,경기 평택시,만호LPG충전소,경기 평택시 포승읍 서동대로 775,E1,일반,821
A0002860,경기 평택시,SK동아에너지주유소충전소,경기 평택시 남북대로 545  (동삭동),SK에너지,일반,824
A0002878,경기 평택시,도원LPG충전소,경기 평택시 청원로 1630 (도일동),E1,일반,799
A0002923,경기 평택시,푸른LPG충전소,경기도 평택시 청원로 1582 (가재동),E1,일반,799
A0002934,경기 평택시,평택항이엔에스주유소,경기 평택시 포승읍 포승향남로 228,GS칼텍스,일반,829
A0002972,경기 평택시,지산LPG충전소,경기 평택시 지산로 229 (지산동),E1,일반,825
A0002994,경기 평택시,청북가스충전소,경기 평택시 청북면 서해로 1578,GS칼텍스,일반,785
A0003163,경기 평택시,평택휴게소충전소,경기 평택시 오성면 서동대로 2043,E1,일반,787
A0003182,경기 평택시,SK송탄충전소,경기 평택시 탄현로 400 (독곡동),SK에너지,일반,825
A0003188,경기 평택시,(주)대호페트로갤러리충전소평택점,경기 평택시 진위면 남부대로 597,S-OIL,일반,738
A0003219,경기 평택시,라인45충전소,경기도 평택시 팽성읍 팽성로 226,SK가스,일반,821
A0003226,경기 평택시,건화충전소평택점,경기도 평택시 현덕면 서해로 471,SK에너지,일반,811
A0003254,경기 평택시,(주)성림에너지 삼상충전소,경기도 평택시  평택로 292 (세교동),GS칼텍스,일반,825
A0003372,경기 평택시,정원상사칠원동충전소,경기 평택시 남북대로 660 (칠원동),S-OIL,일반,790
A0003375,경기 평택시,복연주유소,경기도 평택시  남북대로 910 (청룡동),GS칼텍스,셀프,735
A0003381,경기 평택시,대성산업(주)평송충전소,경기 평택시 진위면 경기대로 1915,E1,일반,771
A0003384,경기 평택시,중도가스(주)오산영업소,경기 평택시 진위면 남부대로 607,GS칼텍스,일반,738
A0003420,경기 평택시,(주)조이에너지오성충전소,경기 평택시 오성면 오성서로 5,SK가스,일반,789
A0003428,경기 평택시,블루에너지충전소,경기도 평택시 청원로 1409,GS칼텍스,일반,825
A0003433,경기 평택시,(주)현곡주유소/충전소,경기도 평택시 청원로 27 (청북면),SK에너지,셀프,815
A0003437,경기 평택시,개인택시협동조합,경기도 평택시  은실고가길 5 (신대동),현대오일뱅크,일반,825
A0005709,경기 평택시,SK서평택LPG충전소,경기 평택시 오성면 서동대로 1988,SK가스,일반,799
A0006980,경기 평택시,평택금성LPG충전소,경기 평택시 현덕면 서해로 300,S-OIL,일반,811
A0018834,경기 평택시,정원가스충전소, 경기도 평택시 평택로 129,S-OIL,일반,825
A0001232,경기 구리시,(주)성림에너지 사노충전소,경기 구리시 금강로 331-15 (사노동),GS칼텍스,일반,837
A0006485,경기 구리시,서울개인택시조합 복지구리충전소,경기 구리시 동구릉로 188 (인창동),SK가스,일반,838
A0006564,경기 구리시,토평고려lpg충전소, 경기도 구리시 벌말로 8,E1,일반,838
A0006709,경기 구리시,(주)아천에너지,경기도 구리시 아차산로 196 (아천동),SK에너지,일반,836
A0006777,경기 구리시,대성산업경춘충전,경기 구리시 경춘로 217 (인창동),GS칼텍스,일반,837
A0023923,경기 구리시,구리LPG충전소,경기도 구리시 갈매동 215-56,E1,일반,835
A0001453,경기 과천시,(주)과천LPG충전소,경기도 과천시 중앙로 526 (과천동),E1,일반,818
A0008184,경기 과천시,(주)케이씨에너지,경기 과천시 과천대로 20 (갈현동),SK가스,일반,823
A0007016,경기 안산시,극동에너지,경기 안산시 단원구 선이로 39 (선부동),SK에너지,일반,834
A0007032,경기 안산시,해안로충전소,경기 안산시 상록구 사동해안로 738 (사동),GS칼텍스,일반,831
A0007037,경기 안산시,한창충전소,경기도 안산시 단원구  대선로 419 (대부남동),S-OIL,일반,834
A0007040,경기 안산시,안산충전소,경기도 안산시 상록구  선진안길 83 (사동),SK가스,일반,811
A0007042,경기 안산시,선감충전소,경기도 안산시 단원구 대부황금로 123 (선감동),GS칼텍스,일반,824
A0007047,경기 안산시,반월가스공업(주),경기 안산시 상록구 충정공길 6 (사사동),GS칼텍스,일반,759
A0007060,경기 안산시,(주)중산LPG안산충전소,경기 안산시 상록구 안산천서로6길 16 (월피동),E1,일반,833
A0007104,경기 안산시,안산성원충전소,경기도 안산시 상록구 수인로 1848 (장상동),SK에너지,일반,833
A0007107,경기 안산시,케이와이에너지(주)느티나무충전소,경기 안산시 단원구 시흥대로 84-9,GS칼텍스,일반,831
A0007112,경기 안산시,(주)일신에너지,경기 안산시 상록구 수인로 1125 (팔곡일동),SK에너지,일반,832
A0007115,경기 안산시,신길LPG충전소,경기도 안산시 단원구 중앙대로 179 (신길동),E1,일반,834
A0007116,경기 안산시,㈜경기태평양충전소안산지점, 경기 안산시 상록구 가루개로 181,SK가스,일반,834
A0007118,경기 안산시,(주)우리에너지,경기도 안산시 상록구 서해로 2938 (건건동),SK에너지,일반,749
A0010346,경기 안산시,반월충전소,경기 안산시 상록구 서해로 2826,SK에너지,일반,749
A0002161,경기 오산시,삼미충전소,경기 오산시 경기대로 725 (내삼미동),GS칼텍스,일반,771
A0002192,경기 오산시,신도시충전소, 경기도 오산시 외삼미로 88,E1,일반,835
A0002402,경기 오산시,프라자충전소,경기 오산시 경기동로 197  (부산동),현대오일뱅크,일반,779
A0002642,경기 오산시,KH에너지(주) 직영 오산상충전소,경기도 오산시 수도권제2순환고속도로 13 (지곶동),SK에너지,일반,801
A0002643,경기 오산시,KH에너지(주) 직영 오산하충전소,경기도 오산시 수도권제2순환고속도로 13-1 (지곶동),SK에너지,일반,801
A0006949,경기 오산시,동서LPG충전소,경기 오산시 서동로 65 (서동),SK에너지,일반,826
A0007411,경기 오산시,오산대역충전소,경기 오산시 수청동 경기대로497,E1,일반,791
A0007417,경기 오산시,오산엘피지충전소,경기 오산시 경기대로 146 (원동),E1,일반,799
A0007549,경기 오산시,동산에너지 (주),경기 오산시 오산천로 3-9,SK에너지,일반,771
A0001871,경기 의왕시,청계충전소,경기 의왕시 안양판교로 469 (청계동),E1,일반,761
A0008163,경기 의왕시,원강충전소,경기 의왕시 시청로 41 (고천동),SK에너지,일반,815
A0008166,경기 의왕시,의왕가스충전소,경기도 의왕시  경수대로 75 (왕곡동),SK가스,일반,753
A0008191,경기 의왕시,(주)의왕오렌지충전소,경기도 의왕시 경수대로 399 (오전동),E1,일반,818
A0008223,경기 의왕시,(주)삼진에너지 의왕충전소,경기 의왕시 오봉로 183 (이동),GS칼텍스,일반,781
A0008228,경기 의왕시,경일석유(주)원일충전소,경기 의왕시 안양판교로 372 (학의동),GS칼텍스,일반,799
A0001924,경기 군포시,군포충전소, 경기도 군포시 번영로 204  (부곡동),GS칼텍스,일반,749
A0001931,경기 군포시,(주)대야엘피지충전소,경기도 군포시 군포로 148,GS칼텍스,일반,749
A0001985,경기 군포시,(주)대양충전소,경기도 군포시  엘에스로 156 (금정동),GS칼텍스,일반,818
A0000711,경기 시흥시,세지에너지,경기도 시흥시  서해안로 120 (정왕동),SK에너지,셀프,835
A0006978,경기 시흥시,금이L.P.G충전소,경기 시흥시 수인로 2681 (금이동),E1,일반,819
A0007056,경기 시흥시,(주)시흥에너지,경기 시흥시 서해안로 768 (월곶동),SK에너지,일반,833
A0008270,경기 시흥시,포동가스충전소,경기 시흥시 시흥대로 711 (하중동),SK에너지,일반,833
A0008373,경기 시흥시,시흥목감LPG충전소,경기 시흥시 수인로 2536 (논곡동),E1,일반,826
A0008375,경기 시흥시,정왕충전소, 경기도 시흥시 서해안로 580,SK가스,일반,836
A0008403,경기 시흥시,(사)휴게시설협회 목감 광명방향주유소,경기도 시흥시  목감1길 47 (목감동),SK에너지,일반,830
A0008420,경기 시흥시,배곧충전소,경기도 시흥시  서해안로 559 (정왕동),SK에너지,일반,836
A0008435,경기 시흥시,시화충전소,경기도 시흥시  서해안로 596 (정왕동),GS칼텍스,일반,825
A0033002,경기 시흥시,헵시바 한화충전소,경기도 시흥시 희망공원로 280,자가상표,일반,835
A0004687,경기 남양주시,에스케이(sk)대성충전소,경기도 남양주시 진건읍 금강로 586,SK가스,일반,837
A0005929,경기 남양주시,남양주LPG충전소,경기도 남양주시 오남읍 양지로 356,E1,일반,815
A0006332,경기 남양주시,화도에너지,경기 남양주시 화도읍 경춘로 2205,SK에너지,일반,837
A0006458,경기 남양주시,광전충전소,경기 남양주시 별내면 송산로 638,S-OIL,일반,837
A0006524,경기 남양주시,신화에너지 송능충전소,경기도 남양주시 진건읍 진건오남로 405-12,GS칼텍스,일반,815
A0006566,경기 남양주시,연평LPG충전소,경기 남양주시 진접읍 양진로 886,SK에너지,일반,837
A0006638,경기 남양주시,팔당LPG충전소,경기도 남양주시 와부읍 경강로 957,SK에너지,일반,838
A0006659,경기 남양주시,퇴계원IC충전소,경기도 남양주시 퇴계원면 경춘북로 477,SK가스,일반,837
A0006708,경기 남양주시,(주)남양주에너지,경기도 남양주시 경춘로 833 (일패동),S-OIL,일반,839
